Forward and Reverse id	Sample id
M010-2-wk-R-Buccal-Mucosa-3pm_S74_L001_R2_001.fastq	M010_2_wk_R_Buccal_Mucosa_3pm_L001-ds.3ea876f7deb3465695ff9e9d78756abc
M010-2-wk-Tongue-3pm_S73_L001_R1_001.fastq	M010_2_wk_Tongue_3pm_L001-ds.58a214046ff043c5b98185f10c46a5ed
M010-2-wk-Tongue-3pm_S73_L001_R2_001.fastq	M010_2_wk_Tongue_3pm_L001-ds.58a214046ff043c5b98185f10c46a5ed
M010-4-wk-L-Buccal-Mucosa_S77_L001_R1_001.fastq	M010_4_wk_L_Buccal_Mucosa_L001-ds.455ce0d129d443b7a628fd31f2cdbd89
M010-4-wk-L-Buccal-Mucosa_S77_L001_R2_001.fastq	M010_4_wk_L_Buccal_Mucosa_L001-ds.455ce0d129d443b7a628fd31f2cdbd89
M010-4-wk-R-Buccal-Mucosa_S76_L001_R1_001.fastq	M010_4_wk_R_Buccal_Mucosa_L001-ds.93376c8633774c9793f264b38008136f
M010-4-wk-R-Buccal-Mucosa_S76_L001_R2_001.fastq	M010_4_wk_R_Buccal_Mucosa_L001-ds.93376c8633774c9793f264b38008136f
M010-4-wk-Tongue-Dorsum_S75_L001_R1_001.fastq	M010_4_wk_Tongue_Dorsum_L001-ds.10fdcfa6128e4239a15601f7c6dc37a8
M010-4-wk-Tongue-Dorsum_S75_L001_R2_001.fastq	M010_4_wk_Tongue_Dorsum_L001-ds.10fdcfa6128e4239a15601f7c6dc37a8
M010-4wk-S_S32_L001_R1_001.fastq	M010_4wk_S_L001-ds.5b13f7093fd147618876c271d1fa063e
M010-4wk-S_S32_L001_R2_001.fastq	M010_4wk_S_L001-ds.5b13f7093fd147618876c271d1fa063e
M010-4wk-US_S33_L001_R1_001.fastq	M010_4wk_US_L001-ds.28d2ddd5572b4babad2e4130178a8cc0
M010-4wk-US_S33_L001_R2_001.fastq	M010_4wk_US_L001-ds.28d2ddd5572b4babad2e4130178a8cc0
M010-baseline-L-buccal-mucosa-330pm_S88_L001_R1_001.fastq	M010_baseline_L_buccal_mucosa_330pm_L001-ds.e5dfc1446ee74889853c4108813274c3
M010-baseline-L-buccal-mucosa-330pm_S88_L001_R2_001.fastq	M010_baseline_L_buccal_mucosa_330pm_L001-ds.e5dfc1446ee74889853c4108813274c3
M010-Baseline-R-Buccal-Mucosa-330pm_S83_L001_R1_001.fastq	M010_Baseline_R_Buccal_Mucosa_330pm_L001-ds.4ffbf6923016497b832d59c07a9b17c8
M010-Baseline-R-Buccal-Mucosa-330pm_S83_L001_R2_001.fastq	M010_Baseline_R_Buccal_Mucosa_330pm_L001-ds.4ffbf6923016497b832d59c07a9b17c8
M010-baseline-tongue-dorsum-329pm_S89_L001_R1_001.fastq	M010_baseline_tongue_dorsum_329pm_L001-ds.a5cec3cd1072423a8debeae82d5b96cf
M010-baseline-tongue-dorsum-329pm_S89_L001_R2_001.fastq	M010_baseline_tongue_dorsum_329pm_L001-ds.a5cec3cd1072423a8debeae82d5b96cf
M010-BL-S-1_S31_L001_R1_001.fastq	M010_BL_S_1_L001-ds.74c32be145e44618a797f1a830ad64aa
M010-BL-S-1_S31_L001_R2_001.fastq	M010_BL_S_1_L001-ds.74c32be145e44618a797f1a830ad64aa
M011-Baseline-R-buccal-mucosa_S80_L001_R1_001.fastq	M011_Baseline_R_buccal_mucosa_L001-ds.d75d9a59688c4262b103e5122fcc3389
